,Make,Model,Variant,Ex-Showroom_Price(in lakhs),Displacement(in cc),Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity (in litres),Fuel_Type,Height (in mm),Length(in mm),Width(in mm),Body_Type,Doors,City_Mileage (in km/litre),Highway_Mileage (in km/litre),ARAI_Certified_Mileage (in km/litre),Kerb_Weight (in kg),Gears,Ground_Clearance(in mm),Seating_Capacity,Wheelbase (in mm),Boot_Space (in litres)
0,Tata,Nano Genx,Xt,2.93,624,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,,23.6,660,4,180,4,2230,110
1,Tata,Nano Genx,Xe,2.36,624,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,,23.6,725,4,180,4,2230,110
2,Tata,Nano Genx,Emax Xm,2.97,624,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15,CNG,1652,3164,1750,Hatchback,4,,,,710,4,180,4,2230,110
3,Tata,Nano Genx,Xta,3.35,624,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,,21.9,725,5,180,4,2230,94
4,Tata,Nano Genx,Xm,2.72,624,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,,23.6,725,4,180,4,2230,110
5,Tata,Nano Genx,Xma,3.15,624,2,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5,23.6,,21.9,710,5,180,4,2230,94
6,Datsun,Redi-Go,D,2.8,799,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,24,25.17,,5,185,5,2348,222
7,Datsun,Redi-Go,T,3.52,799,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,24,25.17,,5,185,5,2348,222
8,Datsun,Redi-Go,A,3.33,799,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,24,25.17,,5,185,5,2348,222
9,Datsun,Redi-Go,S,3.62,799,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,24,25.17,,5,185,5,2348,222
10,Datsun,Redi-Go,1.0 S,3.9,999,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,,,22.5,,5,185,5,2348,222
11,Datsun,Redi-Go,1.0 S Amt,4.37,999,3,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,,,23,,5,185,5,2348,222
